no	Hotel name	rating	user type	room type	nights	review
3120	Africana Hotel	2	مسافر منفرد	غرفة مزدوجة	أقمت ليلة واحدة	مخيب للأمل. . لايوجد تكسي لازم تمشي كيلو عشان تدور تكسي وغير معروف لدى التكسي
3121	Africana Hotel	2	مسافر منفرد	غرفة مفردة	أقمت ليلة واحدة	“مافيه مواقف . ضيق طريق منكقه  مقززه”. لم يعجبني شي. منطقة عمال تحس بي عدم الارتياح  شارع جدا ضيق مسار واحد بتجاه واحد مافيه مواقف ازدحم  يوجد مواقف منفضله بي 5 و 10  درهم  منطقة نايف  كله قبيحه
3122	Africana Hotel	2	مسافر منفرد	غرفة ثلاثية	أقمت 7 ليالي	“سيى”. السعر. الموقع والنت بطي موقف السياره كل يوم ندفع تقريبا 55 درهم للمواقف
3124	Africana Hotel	2	-	غرفة مزدوجة	أقمت 5 ليالي	مخيب للأمل. فقط السعر. الاسرار غير نظيفه جدا والنت وقت كويس ووقت سيء موقعه كانك بالغرابي علشان محد ينخدع
3125	Africana Hotel	2	زوج	غرفة مزدوجة	أقمت 7 ليالي	“سيى”. لاشي. كل شي
3126	Africana Hotel	1	مسافر منفرد	غرفة مزدوجة	أقمت 4 ليالي	ضعيف جداً. . النصب علي و نقلي الى فندق انابلاس
3127	Africana Hotel	2	-	غرفة رباعية	أقمت ليلة واحدة	ضعيف. لا شي. الموقع والخدمه والاستقبال وعدم توفر مواقف لا انصح باستخدامه
3128	Africana Hotel	2	مسافر منفرد	غرفة مفردة	أقمت ليلة واحدة	ضعيف. فقط مجانية الانترنت. كل شي خصوصا التعامل السيء للاستقبال
3129	Africana Hotel	1	مسافر منفرد	غرفة مفردة	أقمت ليلة واحدة	ضعيف جداً. . قراد الفراش والحشرات لا استطيع النوم بسببها ، ضوضاء
3130	Africana Hotel	1	مسافر منفرد	غرفة مزدوجة	أقمت ليلة واحدة	“محبط للامال”. . لم يعجبني اي شيئ
3132	Africana Hotel	1	-	غرفة ثلاثية	أقمت ليلة واحدة	ضعيف جداً. . السعر
3134	Africana Hotel	1	-	غرفة ثلاثية	أقمت 7 ليالي	“لا انصح بيه تماما الا للهنود او الافريقين”. لم يعجبني شيء بتاتاI don't like anything. 1 مناسب فقط للهنود او الافريقيين 2 المكان بشع تماما والرائحه كذلك3 لا يوجد اي خدمات واشتكيت من عدم توافر مناشف وشامبو ولامبة اضاءه للمرأه بالحمام خلال اسبوع ولا يوجد جدوي4 النت بطيء جدا5 خصمو 7 درهم علي كل فرد وليس علي الغرفه بالكامل6 لا يوجد اي مكان للسياره عن قرب الا في المواقف من 5 ل 10 درهم بالساعه7 لا انصح به لا يوجد به اي ميزه وحتي المبلغ حرام دفعه فمثل هذا الفندقPlease don't go there :(
3138	Africana Hotel	2	-	غرفة ثلاثية	أقمت ليلة واحدة	مخيب للأمل. لا شي. موقعه وعدم توافر المواقف وبصعوبه تحصل موقف واذا حصلت برسوم الساعه5 درهم
3140	Africana Hotel	1	-	غرفة ثلاثية	أقمت 7 ليالي	ضعيف جداً. لم يعجبنى شئ فندق وسخان و بلا خدمات و موظفون مستفزون. اسوا فندق دخلته قمة فى السوء و الوساخة
3142	Africana Hotel	2	-	غرفة ثلاثية	أقمت ليلة واحدة	“مجموعة شباب”. هذا الفندق ينفع حق شباب ما لقوا  فندق مظبوط و يكونون مجبورين يسكنون في مكان ما ... ف مالهم الا هالفندق لانه يمشي الحال. -طلبت في البوكينج اني اريد سرير زيادة بس قالوا ماشي- فندق لايوجد به سكيورتي .. كل يوم اخر الليل يدخلون السكرانيين .- الواي فاي كان ضعيف جدا- الاستقبال بدائي جدا- مكيف الغرفة حار
3144	Africana Hotel	1	أسرة	غرفة مزدوجة	أقمت 3 ليالي	ضعيف جداً. . كانت شبكة الواي فاي ضعيفة جدا وفي اغلب الاحيان لا يمكن الاتصال بها وكانت راءحة دورة المياه كريهة والعمال لا يقومون بالتنظيف اليومي
3145	Africana Hotel	2	مسافر منفرد	غرفة مفردة	أقمت ليلتين	“تجربه سيئة بكل المقاييس”. لم يعجبني شيئ. كل شيئ
3146	Africana Hotel	1	مسافر منفرد	غرفة مفردة	أقمت 9 ليالي	ضعيف جداً. لا يوجد شيء يعجبني. الفندق ضوضاء وخاصة بالليل . الغرفة فيها حشرات والسرير فيه جراد الفراش .. لايمكن ان يكون فندق مثل هذا في امارة دبي
3147	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	ضعيف. . وقت الظهيرة تم ازعاجنا بشدة نحن وطفلنا الرضيع بسبب الصيانة في الغرفة المجاورة دون سابق علمنا باستخدام الدرل مما تسبب في ازمة لطفلنا لمدة اكثر من ساعة وازعاج شديد جداً لنا .
3149	فندق ومنتجع ون تو ون عين الفايضة	2	زوج	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	ضعيف. . صراصير و حشرات 😤في كل مكان
3151	فندق ومنتجع ون تو ون عين الفايضة	2	مسافر منفرد	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“لا يوجد اهتام”. . لا يوجد اهتمام فالكان ويوجد إزعاج بين الغرف من قبل العاملين
3154	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلة واحدة	ضعيف جداً. . الحشرات و الاعشاب الضارة داخل الفلل.الفيلا لا تصلح لإقامة عائلية، لا يوجد فيها كاونتر او مطبخ أو اقل شيء مايكرويف!!!التلفاز لا علاقة بالواقع!
3155	فندق ومنتجع ون تو ون عين الفايضة	2	-	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“استغلالين”. سرير مريح ومكان هادء. سعر مقابل غرفه قديييييمه جدا وتحس يبون يطلعون منك فلوس باي طريقه اذا لحف فيه وصخ او منشفه او اي شي ثاني وضاع مني سماعات ومارجعوه لي
3156	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	ضعيف جداً. ولا شي. خايسس اعوذ يالله
3157	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	“لا انصح فيه ابدا”. لم يعجبني شي. لايوجد مكان مخصص للمعاقيين و كبار السن للنزول من السياره وركوبها والفلل بعيده
3159	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلتين	ضعيف جداً. . خصص لي شاليه يبعد عن موقف السيارة تقريباً ٤٠٠م ولا يوجد فالفندق توصيلالحقائب والممر المؤدي للشاليه به أشجار كثيفه غير مقلمه ومظلم، طلبت مكواهوسجادة للصلاة أخذت تقريباً ثلاث ساعات حتى أحضروها لي، عند المغادرة اتصلتبالاستقبال لأكثر من ٥ مرات دون الرد على مكالماتي ، لذا من وجهة نظريالمكان غير ملائم بتاتا للعوائل ناهيك عن الخدمة الغير مرضيه تماماً
3167	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	“كانت تجربة سيئة”. . انتشار الحشرات و الناموس
3168	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“كانت تجربة سيئة”. . انتشار كبير للحشرات و الباعوض ،
3171	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت 3 ليالي	“فندق”. لا شئ فندق سئ. لا يوجد مطبخ يوجد فقط حمام واحد النظافة سيئهالحمام وسخ
3174	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلتين	“اقامة وحظ سيئ في هذا المنتجع الرديئ السيئ”. لا يوجد شى جيد ابدا كل شي سيئ حتا الفطور تعيس. الفندق سيئ جدا جدا جدا ولا يسوا درهم واحد ..لا نظافه ولا خدمة ولا هدوء مبنى زباله قديم غير صحي وغير آمن ولا يصلح لان يكون منتجع ابدا ابدا ابدا وانصح الجميع واحذرهم من الذهاب لهذا الفندق والمنتجع وحسبي الله عليهم...انا اطلب من ادارة البوكينغ تعويضي اذا كان بالامكان
3176	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلتين	“سيء”. بصراحة من أسوأ الفنادق التي حجزت فيها، ولا أدري كيف تك تصنيفه 4. كل شيء
3180	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“اقامه مزريه”. . الازعاج الكبير وانطلاق صافرة الانذار الساعه الثانيه وخمسين دقيقه صباحا.بالاضافه الى الثلاجه التي لا تعمل واعطائي غرفه تنبعث منها رائحة الدخان علما بانني طلبت في حجزي غرفه لغير المدخنين وفيالصباح ابلغت موظف الاستقبال امين بما حصل وطلبت من تاخير الخروج من الغرفه للساعه الثالثه فكان الرفض بطريقه جافه وبالكاد حصلت على ساعه تاخير مع التهديد بتغريمي يوم كامل اذا تاخرت عن الساعه الواحده مما ازعجني جدا وندمت على حجزي في فندقكم
3181	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	“من اسوء الفنادق الي زرتها”. . لايوجد نظافه إطلاقا السرير قديم وقذر
3182	فندق ومنتجع ون تو ون عين الفايضة	1	-	-	أقمت ليلتين	ضعيف جداً. لاشي. يتهمون الناس بتوسيخ المكان ليقبضو منهم مبالغ خياليه
3183	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	ضعيف جداً. حوض السباحة للأطفال. لا يوجد اهتمام والمنتجع قديم ولم يجدد - عدم وجود نظافة - الإنارة ضعيفة - لا يصلح للعوائل - الذي ترونه من صور في موقع بوكنج مخالف للواقع تماما
3185	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت 3 ليالي	“اسوء فندق”. لا شيء. المبلغ كثير على المكان لا يوجد نظافة في الغرف و لا عازل صوت و الفطور ب 60 درهم و الفندق قديم و غير مجدد و ياخذو 500 درهم تامين
3191	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	مخيب للأمل. . لم يكن فندق بالنجوم المستحقهكانت اغلب الاشياء ناقصه بالغرفهمثل حاويه نفايات وبطانيه اضافيه ومخده ومكوىودورة المياه ليست تظيفه تماماوكانت مروحة الشفط متعطله
3193	فندق ومنتجع ون تو ون عين الفايضة	1	مسافر منفرد	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“يرجو متابعة الفندق”. الاكل فقط. الاثاث الحمامصوت الغرف مسموع وكأن فندق باكامل معاك بالغرفة الخدمات السعر النجوم الذي لايستحقها الفندق رائحه كريه فالغرف رائحه دخان فكل غرف ملاحق الفندق
3194	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلة واحدة	“كل شي تعبان”. لاشي عدا كل شي قديم ومتهالك. فيلا غرفتين بها حمام واحد وقديم جدا وغير نظيف ورائحته نتنة ومنتشره الريحة في كل الفيلا بالليل المنظر موحش والفيلات بعيده عن الاستقبال والفندق غير مرتب ما تعرف وين تروح الاستقبال في مكان والمطعم في مكان والفيلا في مكان وأكل المطعم كلمة رديئ وتعبان لا تكفي الوصف حرام هالمكان يظل قديم بدون تحديث وتجديد
3195	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	“للاسف الاهتمام بالمنتجع ضعيف جدا”. . ؛المنتجع جميل لكن بسبب عدم الاهتمام به يجعل من تقيمه مقبول
3196	فندق ومنتجع ون تو ون عين الفايضة	4	أسرة	-	أقمت ليلتين	“مكان رائع لقضاء إجازة مع العائلة. .”. الإفطار جدا رائع .. وموظفة المطعم مبتسمة وتقدم لنا الخدمة بصدر رحب ..الفيلا جدا رائعة ... لا يوجد ..
3199	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلتين	مخيب للأمل. بعد المنتجع عن المناطق السكنية. وجود أماكن ترفيه في المنتجع ولكن لا يوجد بها تفعيل عدا القرية التراثية ولا يوجد اهتمام بالفلل من حيث النظافة حيث كانت البلكونة تحتوي على كميات كبيرة من الاتربة ولم يتم تنظيفها الا بعد ابلاغ الاستقبال ولا يوجد محارم ورقية في الغرف او الصالة ومن بعد الطلب تم احضار محارم ورقية توضع لدورات المياه . المنتجع يستاهل نجمتين فقط ... اربع عليه كثير ... وارجوا من المسؤولين الاهتمام به بشكل اكثر
3201	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	ضعيف جداً. لا شي. موظف الاستقبال كان أسلوبه زفت ولا يصلح لعمل الفنادق واسمه عدنان ما عنده أسلوب في استقبال الظيوف
3202	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلتين	“لم تكن بالممتعه”. . الاستقبال كان سيئ والمبنى كان قديم وليس بنظيف
3205	فندق ومنتجع ون تو ون عين الفايضة	2	زوج	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“اهتموا بالنظافة”. الموقع. النظافةوالراءحة
3210	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلتين	“اصبت بالرعب وخيبة الامل المكان شبه مقطوع”. 1- الافطار الصباحي جيد 2- الحدائق المحيطة بالمكان والاجواء ربيع. 1- الاثاث قديم من الخشب المهتري 2- السرير غير مريح والحمامات قديمة 3- الخدمات سيئة نقل العش صعب بعيد عن البوابة الرئيسية لم يحمل حقائبي احد الابصعوبة 4- البحيرة مياهها سوداء قديمة حولها صحراء مقطوعه
3211	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	مخيب للأمل. موقع المنتجع و بوفيه الإفطار. بطئ خدمة الاستقبال، عدم النظافة، عدم الأهتمام بمحيط الفلل ، وساخة البحيرات وخلوها من الماء
3216	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	“موحش”. . وجود الحشرات والصراصير المكان موحش بعيد عن المدينة غير مريح
3217	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	“غير مريح”. . طريقة حسابهم لفرق العمله والحساب فيه نصبوازعاج بشكل كبير أصوات غناء وطرب صاخبة جداً الى صلاة الفجر 😡 عدم توفر علب المناديل ولا حذاء للحمام
3218	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلتين	“سيئة جدا”. . معاملة سيئة جدا من العاملين في المنتجع و لا مبالاه بالزبائن والفندق قديم لا توجد صيانة ولا نظافه فيه
3219	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	“مقبول”. . لايوجد غير حمام واحد في الفيلاومتهالك البناء قديم ومتهالك
3223	فندق ومنتجع ون تو ون عين الفايضة	4	أسرة	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	جيد. . القناة المائيه لانها ليست مرتبه
3225	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	“اسم على غير المسمى”. كثافة الاشجار. وساخة المكان وعدم عمل الصيانه
3226	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	ضعيف. . ليس هناك سرعه في الخدمات معظم الأشياء لا تعمل وتحتاج إلى تصليح ليس هناك اهتمام في نظافة البلكونات باب الغرفه يصدر صوتا مزعجا يحتاج إلى صيانه او تصليح السعر لايتناسب مع المكان والخدمة
3231	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلة واحدة	“لن اعود مجدد في الحجز في هذا الفندق”. المكان من الخارج وسخ كثير والصور في الغرف  مختلفه  والنت ليم يكون موجود وصلّحه الساعه 11. المنظر مافي خضار مافي طبيعه حلوه مافي مطبخ تحضيري المبزره للخضزراء أحسن وأيد والاستقبال زي ردي
3234	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	ضعيف. موقع الشاليه وموقف السيارهالزراعة غير مرتبه عدد الحمامات في الشاليه النظافة خارج الشاليه. 
3236	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	“عدم الاهتمام بتايخ الفندق مستواه الان متدني”. . عدم الاهتمام بجماليت الموقع والاطلاله والصيانة  و الخدمات والترفيه كان الفندق قبل 20 سنه مستواه جدن راقي وبالنسبة ل فنادق الامارات الان مستواه 3 نجمات
3237	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلتين	“غير متناسب مع القيمة المدفوعة”. لا شيء. كل شيء
3238	فندق ومنتجع ون تو ون عين الفايضة	4	-	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“جيده”. كل شى. بعيد عن مركز المدينه
3240	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلة واحدة	“فندق فاشل”. لم يعجبني شيء بتاتا. كل شي سيء للغاية النظافة والاستقبال والخدمات الأخرى
3241	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	فيلا من غرفة نوم واحدة	أقمت ليلتين	“أسوأ مكان قضيت فيه الإجازة”. حسن تعامل الأخ رامي مع المشكلة. عدم التنسيق في الحجوزات والفوضى تغيير الثلاجات تعمل بالمروحة بدل الكمبريسور وصغر حجمها بعد ان كانت كبيرة أخذ مبلغ عشرة دراهم لدخول حديقة العائلة لكل شخص
3243	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلة واحدة	“سكن غير مناسب لترفيه العوائل”. لاشي. يوجد في الفيلا من غرفتين حمام واحد فقط والماء فيه ضعيف و يقطع كل دقيقهالفيلا قديمه والأثاث قديم جدا ومغبرالفلل بعيده عن المرافق والخدمات ولا يوجد حدائق حول الفلل غير الاشجار العشوائيه
3248	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	“متوسط”. المكان مهجور حرام ما مهتمين في الزرع والخضار مع انه مدينة العين واحة خضرا انت قاعدوقدامك زبالة الحشيش والمكيف من الطراز القديم وصوته مزعج. الحديقة المكيف وعدم الاهتمام بمنظر الفيلا
3249	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“لا انصح بأخذ الإفطار”. ربما السعر وقربه من المبزره الخضراء. المكان اشبه بالمهجور صور الموقع يمكن اول ما فتحوه والحين الواقع شي ثاني ، تخيلو تتريقون في البار نفسه يعني الي يسكر عدالك والاغاني تشتغل والخمور تدار بينكم ، شي يقهر اخر مره افكر فيه يعني المعاصي امامك  خطر انكك تتعود على ريحت الخمر او تعود عيالك
3252	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	ضعيف. . الفيلا كانت قذرة للغاية وغير منظفة. انارة البلكون كانت معطلة.
3258	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	“إقامة سيئة”. . يحتاج المكان للتجديد والاهتمام بالمرافق وتبديل الأثاث المهتريوتخفيض الأسعار لأن المكان لا يستحق فعلاكانت تجربة سيئة ونادم على المبلغ المدفوع
3260	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	“زرت صغيراً من 30 سنه منتجع العين الفايضة كان جنه رائعة أما الأن فجميع مرافق المنتجع مهملة للغاية”. انا مستاء جداً. عدم الإهتمام نهائياً وإهمال معظم مرافق المنتجع مثل بحيرة البط - محمية الطيور - الأشجار والمناظر الطبيعية - الألعاب الترفيهة للأطفال - وسوء نظافة البلكونات الخارجية للفلل والكراس والطاولات تالفه
3263	فندق ومنتجع ون تو ون عين الفايضة	1	زوج	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	ضعيف جداً. . كل شيء
3265	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	“مكان سئ”. . المكان غير نظيف والفيلا قديمة والسعر غالي
3266	فندق ومنتجع ون تو ون عين الفايضة	4	زوج	-	أقمت ليلتين	جيد. قريب من جبل حفيت، هدوء، واي فاي مجانا.. 
3267	فندق ومنتجع ون تو ون عين الفايضة	4	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“رحلتي مع العائله”. تعامل الموظفين راقي جدا واخص بالذكر شخص اعتقد ان اسمه وسيم او نسيم. اشياء كثيره منها الحديقه التي من المفترض ان تكون مكان للاطفال ولكنها مهمله كما هو الحال مع البركه المائيه التي اصيح لونها اخضر لان الماء فيها لايتحرك
3268	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“غير راضي عن الفندق”. لايوجد اماكن للترفبه داخل الفندق ولا يوجد نظافه داخل الغرف وخصوصاً الاسره وغرفة الجلوس والشراشف. النظافه
3271	فندق ومنتجع ون تو ون عين الفايضة	1	زوج	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“غير راضي بأن يدرج هذا المكان في موقعكم”. صراحه لم اعجب بشي في هذا المكان وندمت اشد الندم لاني اقمت هناك المكان غير لائق وغير نظيف ولا انصح احد بالحجز فيه.. المكان قديم ومتهالك والغرف غير نظيفه بعباره اخرى زباله .
3272	فندق ومنتجع ون تو ون عين الفايضة	5	أسرة	-	أقمت ليلة واحدة	استثنائي. . قلت الاضاءة حول الفلل
3279	فندق ومنتجع ون تو ون عين الفايضة	2	مسافر منفرد	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	ضعيف. القرب من الاماكن السياحيه. مكان الفندق استغرق بحثي عن الفندق تقريباً ساعه لا يوجد مدخل واضح للفندق.رائحة السجائر في ممرات الفندقمعاملة موظفين الاستقبال سيئه ولا يوجد ترحيب يليق بالنزيلهدوء موحش وغير طبيعي الاضاءه غير مناسبه سواء خارج الفندق أو داخل الفندقلا انصح فيه
3280	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	مخيب للأمل. الشاليه فقط. جميع ما ذكر في الاعلان كذب كل المرافق المذكوره لا تعمل الحدائق مغلقة الاشجار يابسه المكان غير نضيف غالي على الفاضي
3282	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	فيلا من غرفة نوم واحدة	أقمت ليلتين	ضعيف. ان الفيلا مستقله.مساحة الفيلا جيدة.. النظافة داخل الفيلا وبخصوص الحمامات و التهوية غير جيدة توجد رائحة كريهة.الطرق الداخلية سيئة ويوجد كثير من المطبات الغير ضرورية والمنوعة بطريقة جدا سيئة.الموقع بشكل عام يحتاج إلى صيانة قديم جدا .
3286	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلة واحدة	“لم اصتطع المبيت في امنتجع لذالك خرجت الساعه الثامنه مساء  الي فندق اخر”. المنتجع عباره عن قريه مهموله ولا يمكن لاسره السكن ببالمنتجع لسبب المكان مهجور ولا يوجد اماكن ترفيه للاسره وعدم اهتمام بالزوار. الفلل موجوده في مكان مقطوع عن الفندق ولا يوجد خدمات واهتمام
3287	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلة واحدة	“الاحساء”. . المكان جدا غير نظيف وجودحشرات ونمل
3291	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلتين	“ندمت على اختياري لهذا المكان لﻷسف”. . لﻷسف الخدمه زفته والمكان وسخ جدا حتى الغرفه تعتبر وسخه ويختلف كثيرا عن ما كتب في موقعكم أو الصور في النت  المكان به إزعاج خاصة الغرف التي تم حجزها لنا والبوفيه لم يعجبني ومتكرر وكذلك ليس به أصناف مختلف وتم ذكر أنشطة لم أجدها موجوده  واﻷهم في كل ذلك لا يوجد نظافةأريد أن أقدم شكوى واسترجاع المبالغ التي دفعتها ولم  أعلم إلى أين أتوجه حتى في موقعكم بحثت لا يوجد شي لتقديم شكوى أتمنى أن تواصلوا معي لأنني أصبحت لا تثق في خدماتكم بسبب هذا المنتجع الأعيان الذي  يخدع من يقوم بالحجز عن طريق النت
3303	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلتين	ضعيف جداً. مافي شي عجبني وكل شي عندهم يلوع الجبد ولمن طلبت اكياس لاندري حق الثياب جابولي اكياس زباله. مافي شي عجبني
3307	فندق ومنتجع ون تو ون عين الفايضة	4	أسرة	-	أقمت ليلتين	“مكان رائع يمكن ان يصبح اروع”. المكان جميل والخدمة جيدة والقيمة رائعة. الشاليه مخدوم بصورة جيدة.. المرافق المحيطة يمكن ان تخدم بصورة افضل كالزوارق وحديقة الاطفال والنهر.. كلهم يحتاجون الى رعاية وتجديد. المطاعم فقيرة وغير متوفرة بصورة ملائمة. المطبخ يفتقد كل ادوات الطبخ
3312	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلتين	مخيب للأمل. لايوجد شي لفت نظري منتجعات كثيرة تأتي بالجديد وهذه الموصفات لم اشاهدها في المنتجع. الخدمات الموجودة في بعض المنتجعات لم تكن موجوده في هذا المنتجع ،، وكذلك الاسعار عالية بالمقارنه للخدمات التي يقدمها المنتجع،،
3313	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	-	أقمت ليلة واحدة	“أسوأ إقامه لي و لعائلتي”. المكان رائع و المنظر و الجو. الاثاث قديم جداً و متهالك ، الصراصير بكل مكان ، لاتوجد صحون او ملاعق وعندما طلبت صحن لم يقوموا بتوفيره و كانهوا شيء غريب .
3314	فندق ومنتجع ون تو ون عين الفايضة	1	أسرة	-	أقمت ليلتين	ضعيف جداً. . غير آمن للعوائل
3315	فندق ومنتجع ون تو ون عين الفايضة	4	زوج	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	“جيد جداً”. موقع الشاليه. 
3318	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلتين	مخيب للأمل. سئ جدا جدا. 
3322	فندق ومنتجع ون تو ون عين الفايضة	2	مسافر منفرد	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلتين	مخيب للأمل. . نظافة ديكور السعر
3323	فندق ومنتجع ون تو ون عين الفايضة	2	زوج	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“فندق من العصر الحجري”. لم يجبني شيء. الفندق قديم جدا ولا يستحق اربع نجومبالاضافه الى رائحة مياه المجاري التي تصل لغرفة النوم بعد استخدام السيفون
3324	فندق ومنتجع ون تو ون عين الفايضة	1	-	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	ضعيف جداً. . نظافة الشاليه
3325	فندق ومنتجع ون تو ون عين الفايضة	2	زوج	غرفة سوبيريور مزدوجة أو توأم	أقمت ليلة واحدة	“ازعاج الماره امام الغرف”. السعر. وجود عطل في التكييف وصوته المزعج
3336	فندق ومنتجع ون تو ون عين الفايضة	2	أسرة	فيلا من غرفة نوم واحدة	أقمت ليلتين	مخيب للأمل. الهدوء وسرعة استجابة الموظفين. الحمامات قديمة ووسخة ،المكان يباله صيانة ،ماي المسبح بارد،روائح في الصالة والممرات ،حشرات ،
3337	فندق ومنتجع ون تو ون عين الفايضة	2	زوج	فيلا من غرفة نوم واحدة	أقمت ليلة واحدة	مخيب للأمل. . المكان غير نظيف من خارج الشالهات ومنتشره البعوض بالمكان
